,time,Temperature[k],Resistance[Ohm]
0,,190.0,5
0,,190.0,0
0,,190.3333282470703,21
0,,190.3333282470703,7
0,,190.66665649414062,14
0,,190.66665649414062,21
0,,190.99998474121094,5
0,,190.99998474121094,22
0,,191.33331298828125,20
0,,191.66664123535156,12
0,,191.66664123535156,15
0,,191.99996948242188,7
0,,191.99996948242188,16
0,,192.3332977294922,6
0,,192.3332977294922,9
0,,192.6666259765625,25
0,,192.6666259765625,12
0,,192.9999542236328,0
0,,192.9999542236328,11
0,,193.33328247070312,9
0,,193.33328247070312,20
0,,193.66661071777344,0
0,,193.66661071777344,15
0,,193.99993896484375,10
0,,193.99993896484375,2
0,,194.33326721191406,0
0,,194.33326721191406,1
0,,194.66659545898438,12
0,,194.66659545898438,23
0,,194.9999237060547,5
0,,194.9999237060547,4
0,,195.333251953125,22
0,,195.333251953125,7
0,,195.6665802001953,10
0,,195.6665802001953,14
0,,195.99990844726562,7
0,,195.99990844726562,23
0,,196.33323669433594,9
0,,196.33323669433594,13
0,,196.66656494140625,4
0,,196.66656494140625,8
0,,196.99989318847656,17
0,,196.99989318847656,22
0,,197.33322143554688,10
0,,197.33322143554688,12
0,,197.6665496826172,10
0,,197.6665496826172,6
0,,197.9998779296875,2
0,,197.9998779296875,15
0,,198.3332061767578,13
0,,198.66653442382812,23
0,,198.66653442382812,20
0,,198.99986267089844,10
0,,198.99986267089844,18
0,,199.33319091796875,12
0,,199.33319091796875,15
0,,199.66651916503906,16
0,,199.66651916503906,2
0,,199.99984741210938,23
