,time,Temperature[k],Resistance[Ohm]
0,,200.0,25
0,,200.0,7
0,,200.1666717529297,23
0,,200.1666717529297,8
0,,200.33334350585938,7
0,,200.33334350585938,22
0,,200.50001525878906,19
0,,200.50001525878906,20
0,,200.66668701171875,6
0,,200.66668701171875,18
0,,200.83335876464844,14
0,,200.83335876464844,12
0,,201.00003051757812,9
0,,201.00003051757812,2
0,,201.1667022705078,9
0,,201.1667022705078,1
0,,201.3333740234375,6
0,,201.3333740234375,15
0,,201.5000457763672,8
0,,201.5000457763672,15
0,,201.66671752929688,9
0,,201.66671752929688,9
0,,201.83338928222656,18
0,,201.83338928222656,6
0,,202.00006103515625,14
0,,202.00006103515625,22
0,,202.16673278808594,14
0,,202.16673278808594,9
0,,202.33340454101562,10
0,,202.33340454101562,2
0,,202.5000762939453,12
0,,202.666748046875,22
0,,202.666748046875,9
0,,202.8334197998047,18
0,,202.8334197998047,5
0,,203.00009155273438,0
0,,203.00009155273438,23
0,,203.16676330566406,13
0,,203.16676330566406,8
0,,203.33343505859375,17
0,,203.33343505859375,8
0,,203.50010681152344,22
0,,203.50010681152344,9
0,,203.66677856445312,23
0,,203.66677856445312,18
0,,203.8334503173828,21
0,,203.8334503173828,18
0,,204.0001220703125,24
0,,204.0001220703125,3
0,,204.1667938232422,13
0,,204.1667938232422,19
0,,204.33346557617188,12
0,,204.33346557617188,21
0,,204.50013732910156,7
0,,204.50013732910156,0
0,,204.66680908203125,20
0,,204.66680908203125,14
0,,204.83348083496094,19
0,,204.83348083496094,16
0,,205.00015258789062,5
0,,205.00015258789062,3
0,,205.1668243408203,11
0,,205.1668243408203,11
0,,205.33349609375,24
0,,205.33349609375,0
0,,205.5001678466797,21
0,,205.5001678466797,5
0,,205.66683959960938,19
0,,205.66683959960938,1
0,,205.83351135253906,20
0,,206.00018310546875,21
0,,206.00018310546875,15
0,,206.16685485839844,17
0,,206.16685485839844,11
0,,206.33352661132812,0
0,,206.33352661132812,18
0,,206.5001983642578,24
0,,206.5001983642578,11
0,,206.6668701171875,5
0,,206.6668701171875,19
0,,206.8335418701172,4
0,,206.8335418701172,19
0,,207.00021362304688,20
0,,207.00021362304688,9
0,,207.16688537597656,19
0,,207.16688537597656,7
0,,207.33355712890625,12
0,,207.33355712890625,22
0,,207.50022888183594,20
0,,207.50022888183594,7
0,,207.66690063476562,21
0,,207.66690063476562,1
0,,207.8335723876953,24
0,,207.8335723876953,14
0,,208.000244140625,22
0,,208.000244140625,16
0,,208.1669158935547,24
0,,208.1669158935547,7
0,,208.33358764648438,4
0,,208.33358764648438,4
0,,208.50025939941406,4
0,,208.50025939941406,6
0,,208.66693115234375,9
0,,208.66693115234375,20
0,,208.83360290527344,24
0,,208.83360290527344,12
0,,209.00027465820312,12
0,,209.00027465820312,2
0,,209.1669464111328,15
0,,209.1669464111328,11
0,,209.3336181640625,0
0,,209.5002899169922,1
0,,209.5002899169922,3
0,,209.66696166992188,7
0,,209.66696166992188,24
0,,209.83363342285156,14
0,,209.83363342285156,4
0,,210.0,5
