,time,Temperature[k],Resistance[Ohm]
0,,190.0,14
0,,190.0,0
0,,189.8333282470703,4
0,,189.8333282470703,5
0,,189.66665649414062,16
0,,189.66665649414062,19
0,,189.49998474121094,15
0,,189.49998474121094,4
0,,189.33331298828125,8
0,,189.33331298828125,6
0,,189.16664123535156,9
0,,189.16664123535156,5
0,,188.99996948242188,16
0,,188.99996948242188,9
0,,188.8332977294922,21
0,,188.8332977294922,19
0,,188.6666259765625,14
0,,188.6666259765625,22
0,,188.4999542236328,23
0,,188.4999542236328,7
0,,188.33328247070312,17
0,,188.33328247070312,6
0,,188.16661071777344,2
0,,188.16661071777344,7
0,,187.99993896484375,16
0,,187.99993896484375,8
0,,187.83326721191406,22
0,,187.83326721191406,13
0,,187.66659545898438,23
0,,187.66659545898438,21
0,,187.4999237060547,5
0,,187.4999237060547,12
0,,187.333251953125,20
0,,187.333251953125,8
0,,187.1665802001953,21
0,,186.99990844726562,10
0,,186.99990844726562,10
0,,186.83323669433594,0
0,,186.83323669433594,20
0,,186.66656494140625,17
0,,186.66656494140625,22
0,,186.49989318847656,3
0,,186.49989318847656,3
0,,186.33322143554688,0
0,,186.33322143554688,20
0,,186.1665496826172,8
0,,186.1665496826172,13
0,,185.9998779296875,18
0,,185.9998779296875,9
0,,185.8332061767578,5
0,,185.8332061767578,6
0,,185.66653442382812,19
0,,185.66653442382812,24
0,,185.49986267089844,16
0,,185.49986267089844,17
0,,185.33319091796875,14
0,,185.33319091796875,15
0,,185.16651916503906,23
0,,185.16651916503906,1
0,,185.0,17
