,time,Temperature[k],Resistance[Ohm]
0,,200.0,10
0,,199.97500610351562,12
0,,199.95001220703125,20
0,,199.95001220703125,1
0,,199.92501831054688,17
0,,199.92501831054688,11
0,,199.9000244140625,7
0,,199.9000244140625,13
0,,199.87503051757812,13
0,,199.87503051757812,14
0,,199.85003662109375,6
0,,199.85003662109375,8
0,,199.82504272460938,16
0,,199.82504272460938,0
0,,199.800048828125,18
0,,199.800048828125,13
0,,199.77505493164062,20
0,,199.77505493164062,7
0,,199.75006103515625,10
0,,199.75006103515625,5
0,,199.72506713867188,12
0,,199.72506713867188,16
0,,199.7000732421875,17
0,,199.7000732421875,5
0,,199.67507934570312,25
0,,199.67507934570312,18
0,,199.65008544921875,16
0,,199.65008544921875,23
0,,199.62509155273438,25
0,,199.62509155273438,0
0,,199.60009765625,5
0,,199.60009765625,16
0,,199.57510375976562,19
0,,199.57510375976562,11
0,,199.55010986328125,22
0,,199.55010986328125,1
0,,199.52511596679688,9
