,time,Temperature[k],Resistance[Ohm]
0,,200.0,11
0,,200.0,1
0,,199.97500610351562,10
0,,199.97500610351562,9
0,,199.95001220703125,11
0,,199.95001220703125,17
0,,199.92501831054688,15
0,,199.92501831054688,7
0,,199.9000244140625,23
0,,199.9000244140625,22
0,,199.87503051757812,9
0,,199.87503051757812,15
0,,199.85003662109375,2
0,,199.85003662109375,4
0,,199.82504272460938,18
0,,199.82504272460938,12
0,,199.800048828125,4
0,,199.800048828125,7
0,,199.77505493164062,15
0,,199.77505493164062,23
0,,199.75006103515625,19
0,,199.72506713867188,17
0,,199.72506713867188,14
0,,199.7000732421875,11
0,,199.7000732421875,8
