,time,Temperature[k],Resistance[Ohm]
0,,199.60009765625,5
0,,199.57510375976562,18
0,,199.57510375976562,0
0,,199.55010986328125,1
0,,199.55010986328125,25
0,,199.52511596679688,21
0,,199.52511596679688,21
0,,199.5001220703125,10
0,,199.5001220703125,17
0,,199.47512817382812,21
0,,199.47512817382812,17
0,,199.45013427734375,13
0,,199.45013427734375,21
0,,199.42514038085938,24
0,,199.42514038085938,5
0,,199.400146484375,6
0,,199.400146484375,4
0,,199.37515258789062,8
0,,199.37515258789062,13
0,,199.35015869140625,23
0,,199.35015869140625,7
0,,199.32516479492188,25
0,,199.32516479492188,1
0,,199.3001708984375,6
0,,199.3001708984375,10
0,,199.27517700195312,7
0,,199.27517700195312,8
0,,199.25018310546875,18
0,,199.22518920898438,0
0,,199.22518920898438,21
0,,199.2001953125,20
0,,199.2001953125,11
0,,199.17520141601562,24
0,,199.17520141601562,14
0,,199.15020751953125,24
0,,199.15020751953125,17
0,,199.12521362304688,23
0,,199.12521362304688,17
0,,199.1002197265625,24
0,,199.1002197265625,3
0,,199.07522583007812,2
0,,199.07522583007812,6
0,,199.05023193359375,25
0,,199.05023193359375,1
0,,199.02523803710938,0
