,time,Temperature[k],Resistance[Ohm]
0,,275.0,24
0,,275.1666564941406,3
0,,275.1666564941406,17
0,,275.33331298828125,23
0,,275.33331298828125,5
0,,275.4999694824219,25
0,,275.4999694824219,2
0,,275.6666259765625,8
0,,275.6666259765625,11
0,,275.8332824707031,13
0,,275.8332824707031,4
0,,275.99993896484375,21
0,,275.99993896484375,15
0,,276.1665954589844,6
0,,276.1665954589844,16
0,,276.333251953125,9
0,,276.333251953125,19
0,,276.4999084472656,14
0,,276.4999084472656,4
0,,276.66656494140625,3
0,,276.66656494140625,0
0,,276.8332214355469,15
0,,276.8332214355469,24
0,,276.9998779296875,0
0,,276.9998779296875,13
0,,277.1665344238281,8
0,,277.33319091796875,12
0,,277.33319091796875,23
0,,277.4998474121094,9
0,,277.4998474121094,4
0,,277.66650390625,8
0,,277.66650390625,17
0,,277.8331604003906,6
0,,277.8331604003906,1
0,,277.99981689453125,7
0,,278.1664733886719,21
0,,278.1664733886719,22
0,,278.3331298828125,4
0,,278.3331298828125,23
0,,278.4997863769531,18
0,,278.4997863769531,24
0,,278.66644287109375,17
0,,278.66644287109375,13
0,,278.8330993652344,11
0,,278.8330993652344,24
0,,278.999755859375,4
0,,278.999755859375,21
0,,279.1664123535156,3
0,,279.1664123535156,17
0,,279.33306884765625,16
0,,279.33306884765625,8
0,,279.4997253417969,22
0,,279.4997253417969,11
0,,279.6663818359375,14
0,,279.6663818359375,25
0,,279.8330383300781,4
0,,279.8330383300781,10
0,,279.99969482421875,6
0,,279.99969482421875,16
0,,280.1663513183594,13
0,,280.1663513183594,14
0,,280.3330078125,6
0,,280.3330078125,1
0,,280.4996643066406,3
0,,280.4996643066406,16
0,,280.66632080078125,3
0,,280.66632080078125,16
0,,280.8329772949219,0
0,,280.8329772949219,17
0,,280.9996337890625,17
0,,280.9996337890625,5
0,,281.1662902832031,9
0,,281.33294677734375,18
0,,281.33294677734375,0
0,,281.4996032714844,14
0,,281.4996032714844,15
0,,281.666259765625,3
0,,281.666259765625,12
0,,281.8329162597656,19
0,,281.8329162597656,25
0,,281.99957275390625,14
0,,281.99957275390625,18
0,,282.1662292480469,0
0,,282.1662292480469,7
0,,282.3328857421875,22
0,,282.3328857421875,22
0,,282.4995422363281,5
0,,282.4995422363281,22
0,,282.66619873046875,4
0,,282.66619873046875,4
0,,282.8328552246094,22
0,,282.8328552246094,18
0,,282.99951171875,15
0,,282.99951171875,22
0,,283.1661682128906,19
0,,283.1661682128906,15
0,,283.33282470703125,11
0,,283.33282470703125,10
0,,283.4994812011719,13
0,,283.4994812011719,20
0,,283.6661376953125,25
0,,283.6661376953125,1
0,,283.8327941894531,17
0,,283.8327941894531,22
0,,283.99945068359375,8
0,,284.1661071777344,21
0,,284.1661071777344,6
0,,284.332763671875,3
0,,284.332763671875,10
0,,284.4994201660156,8
0,,284.4994201660156,15
0,,284.66607666015625,17
0,,284.66607666015625,5
0,,284.8327331542969,1
0,,284.8327331542969,9
0,,284.9993896484375,1
0,,284.9993896484375,16
0,,285.1660461425781,17
0,,285.1660461425781,21
0,,285.33270263671875,0
0,,285.33270263671875,0
0,,285.4993591308594,5
0,,285.4993591308594,14
0,,285.666015625,22
0,,285.666015625,2
0,,285.8326721191406,19
0,,285.8326721191406,1
0,,285.99932861328125,8
0,,285.99932861328125,4
0,,286.1659851074219,5
0,,286.1659851074219,22
0,,286.3326416015625,21
0,,286.3326416015625,11
0,,286.4992980957031,4
0,,286.4992980957031,16
0,,286.66595458984375,20
0,,286.66595458984375,7
0,,286.8326110839844,13
0,,286.8326110839844,17
