,time,Temperature[k],Resistance[Ohm]
0,,190.05197143554688,2
0,,190.05197143554688,9
0,,190.21864318847656,4
0,,190.21864318847656,24
0,,190.38531494140625,4
0,,190.38531494140625,17
0,,190.55198669433594,21
0,,190.55198669433594,14
0,,190.71865844726562,13
0,,190.71865844726562,5
0,,190.8853302001953,9
0,,190.8853302001953,3
0,,191.052001953125,18
0,,191.2186737060547,6
0,,191.2186737060547,10
0,,191.38534545898438,24
0,,191.38534545898438,11
0,,191.55201721191406,19
0,,191.55201721191406,13
0,,191.71868896484375,11
0,,191.71868896484375,7
0,,191.88536071777344,1
0,,191.88536071777344,2
0,,192.05203247070312,11
0,,192.05203247070312,14
0,,192.2187042236328,10
0,,192.2187042236328,0
0,,192.3853759765625,17
0,,192.5520477294922,1
0,,192.5520477294922,9
0,,192.71871948242188,10
0,,192.71871948242188,7
0,,192.88539123535156,7
0,,192.88539123535156,8
0,,193.05206298828125,5
0,,193.05206298828125,24
0,,193.21873474121094,17
0,,193.21873474121094,16
0,,193.38540649414062,9
0,,193.38540649414062,3
0,,193.5520782470703,14
0,,193.5520782470703,17
0,,193.71875,8
0,,193.71875,1
0,,193.8854217529297,21
0,,193.8854217529297,16
0,,194.05209350585938,20
0,,194.05209350585938,18
0,,194.21876525878906,19
0,,194.21876525878906,24
0,,194.38543701171875,19
0,,194.38543701171875,0
0,,194.55210876464844,6
0,,194.55210876464844,25
0,,194.71878051757812,16
0,,194.71878051757812,6
0,,194.8854522705078,10
0,,194.8854522705078,5
0,,195.0521240234375,14
0,,195.0521240234375,7
0,,195.2187957763672,3
0,,195.2187957763672,24
0,,195.38546752929688,8
0,,195.38546752929688,11
0,,195.55213928222656,9
0,,195.71881103515625,8
0,,195.71881103515625,4
0,,195.88548278808594,0
0,,195.88548278808594,15
0,,196.05215454101562,4
0,,196.05215454101562,16
0,,196.2188262939453,2
0,,196.2188262939453,3
0,,196.385498046875,15
0,,196.385498046875,24
0,,196.5521697998047,6
0,,196.5521697998047,22
0,,196.71884155273438,6
0,,196.71884155273438,16
0,,196.88551330566406,15
0,,196.88551330566406,24
0,,197.05218505859375,13
0,,197.05218505859375,4
0,,197.21885681152344,13
0,,197.21885681152344,21
0,,197.38552856445312,23
0,,197.38552856445312,6
0,,197.5522003173828,4
0,,197.5522003173828,16
0,,197.7188720703125,13
0,,197.7188720703125,10
0,,197.8855438232422,22
0,,197.8855438232422,25
0,,198.05221557617188,11
0,,198.05221557617188,5
0,,198.21888732910156,13
0,,198.21888732910156,20
0,,198.38555908203125,2
0,,198.38555908203125,19
0,,198.55223083496094,6
0,,198.55223083496094,5
0,,198.71890258789062,3
0,,198.71890258789062,14
0,,198.8855743408203,9
0,,198.8855743408203,8
0,,199.05224609375,18
0,,199.05224609375,21
0,,199.2189178466797,13
0,,199.38558959960938,22
0,,199.38558959960938,9
0,,199.55226135253906,6
0,,199.55226135253906,6
0,,199.71893310546875,10
0,,199.71893310546875,2
0,,199.88560485839844,17
